Id,Name,state,new_zip,state_consistent,input_address,matched_address
006WR00000wkDNQYA2,Mobile Park West,CA,92027,True,"2700 E Valley Pkwy, Escondido, California, Escondido, CA, ","2700 E VALLEY PKWY, ESCONDIDO, CA, 92027"
006WR00000wkBoNYAU,Austin Bluff,TX,75236,True,"7070 West Camp Wisdom Road, Dallas, TX, Dallas, TX, ","7070 W CAMP WISDOM RD, DALLAS, TX, 75236"
006WR00000wj8KMYAY,5049 S. Drexel Boulevard,IL,60615,True,"5050 South Drexel Boulevard, Chicago, IL, Chicago, IL, ","5050 S DREXEL BLVD, CHICAGO, IL, 60615"
006WR00000wjKG3YAM,Satori Frisco,TX,75033,True,"11900 Research Road, Frisco, TX, Frisco, TX, ","11900 RESEARCH RD, FRISCO, TX, 75033"
006WR00000wkA96YAE,Birchway Quarry Falls Apartments,TX,76179,True,"820 Old Decatur Road, Fort Worth, TX, Fort Worth, TX, ","820 OLD DECATUR RD, FORT WORTH, TX, 76179"
006WR00000wkAVAYA2,Copper Kettle/Paradise Valley Ranch,AZ,85032,True,"16005 North 32nd Street, Phoenix, AZ, Phoenix, AZ, ","16005 N 32ND ST, PHOENIX, AZ, 85032"
006WR00000wkDNFYA2,Highline Apartment,CA,92071,True,"8729 Graves Avenue, Santee, CA, Santee, CA, ","8729 GRAVES AVE, SANTEE, CA, 92071"
006WR00000wjnPCYAY,Norte Town Lake,AZ,85288,True,"909 East Playa Del Norte Drive, Tempe, AZ, Tempe, AZ, ","909 E PLAYA DEL NORTE DR, TEMPE, AZ, 85288"
006WR00000wkAkPYAU,Camden Greenville,TX,75206,True,"5065 Amesbury Drive, Dallas, TX, Dallas, TX, ","5065 AMESBURY DR, DALLAS, TX, 75206"
006WR00000wkBV1YAM,1323 E. 57th St,IL,60616,True,"534 East 33rd Place, Chicago, IL, Chicago, IL, ","534 E 33RD PL, CHICAGO, IL, 60616"
006WR00000wkDOhYAM,Heritage Plaza,CA,92821,True,"220 West Central Avenue, Brea, CA, Brea, CA, ","220 W CENTRAL AVE, BREA, CA, 92821"
006WR00000wkA6hYAE,Citadel Apartments,NE,68127,True,"8500 Ohern Street, Omaha, NE, Omaha, NE, ","8500 OHERN ST, OMAHA, NE, 68127"
006WR00000wkBnmYAE,Ellis Court,IL,60615,True,"5301-5309 SÂ EllisÂ Ave, Chicago, IL, ","5309 S ELLIS AVE, CHICAGO, IL, 60615"
006WR00000wk9SqYAI,Hunter's Glen Apartments,TX,76542,True,"1201 Bacon Ranch Road, Killeen, TX, Killeen, TX, ","1201 BACON RANCH RD, KILLEEN, TX, 76542"
006WR00000wk9S0YAI,Kirshenbaum Apartments,NE,68132,True,"5013 California Street, Omaha, NE, Omaha, NE, ","5013 CALIFORNIA ST, OMAHA, NE, 68132"
006WR00000wkAsNYAU,Dobson Towne Centre Apartments,AZ,85224,True,"1817 N Dobson Rd, Chandler, AZ, Chandler, AZ, ","1817 N DOBSON RD, CHANDLER, AZ, 85224"
006WR00000wkDO2YAM,Madera Ridge,CA,92026,True,"1051 W El Norte Pkwy, Escondido, California, Escondido, CA, ","1051 W EL NORTE PKWY, ESCONDIDO, CA, 92026"
006WR00000wkBo8YAE,Woodlawn Court,IL,60615,True,"5454 S Shore Dr, Chicago, IL, Chicago, IL, ","5454 S SHORE DR, CHICAGO, IL, 60615"
