Id,Name,prior_value,new_Property_Zip__c,source
006WR00000xwGK9YAM,Omaha_MDU_6414 Boyd St,,68104,regex_from_Property_Address
006WR00000xwGLlYAM,OMAHA_MDU_6569-6571 Military Ave APTS,,68104,regex_from_Property_Address
006WR00000xwGOzYAM,Omaha_MDU_706 N 50th St,,68132,regex_from_Property_Address
006WR00000xwGQbYAM,Omaha_MDU_821 N 47th St,,68132,regex_from_Property_Address
006WR00000xwGSDYA2,Omaha_MDU_St Frances Apartments,,68114,regex_from_Property_Address
006WR00000xwGTpYAM,Omaha_MDU_915 N 48TH ST,,68132,regex_from_Property_Address
006WR00000xwGYfYAM,Killeen_MDU_119-111 N College St,,76541,regex_from_Property_Address
006WR00000xwGaHYAU,Harker Heights_MDU_Village Apts,,76548,regex_from_Property_Address
006WR00000xwGbtYAE,Killeen_MDU_Fairway Park,,76541,regex_from_Property_Address
006WR00000xwGdVYAU,HARKER HEIGHTS_MDU_JR's_Trailer_Park,,76548,regex_from_Property_Address
006WR00000xwGf7YAE,Killeen_MDU_117-121_W_Avenue_A,,76541,regex_from_Property_Address
006WR00000xwGgjYAE,Jarrell_MDU_Rock Terrace Apartments,,76537,regex_from_Property_Address
006WR00000xwGiLYAU,Killeen_MDU_Gray St North Apartments,,76541,regex_from_Property_Address
006WR00000xwGlZYAU,Rhome_MDU_Rhome Apartments,,76078,regex_from_Property_Address
006WR00000xwGnBYAU,Killeen_MDU_201 W Green Ave,,76541,regex_from_Property_Address
006WR00000xwGqPYAU,Killeen_MDU_204 E Harrison Ave,,76541,regex_from_Property_Address
006WR00000xwGs1YAE,Taylor_MDU_Tejas Apartments,,76574,regex_from_Property_Address
006WR00000xwGtdYAE,HARKER HEIGHTS_MDU_Cedar_Knob_RD MHP,,76548,regex_from_Property_Address
006WR00000xwGvFYAU,Killeen_MDU_Tee Top Apartments,,76541,regex_from_Property_Address
006WR00000xwGwrYAE,Killeen_MDU_Magnolia Heights,,76541,regex_from_Property_Address
006WR00000xwH1hYAE,Killeen_MDU_400-404 Liberty St,,76543,regex_from_Property_Address
006WR00000xwH3JYAU,Killeen_MDU_12th Street Apartments,,76541,regex_from_Property_Address
006WR00000xwH4vYAE,Killeen_MDU_Summit Heights Apts,,76541,regex_from_Property_Address
006WR00000xwH89YAE,Killeen_MDU_425 N Gilmer St,,76541,regex_from_Property_Address
