SF_Id,Name,Action,Field,Before,After,Opp,Source,Result,Timestamp
006WR00000wkEapYAE,The Palms,SET_ACCOUNT,AccountId,,Jones & Jones Communities,The Palms,Cleanup need Ironclad IDs - Taylor's Notes 6.10.26.xlsx,"error:Malformed request https://fun-power-747.my.salesforce.com/services/data/v59.0/sobjects/Opportunity/006WR00000wkEapYAE. Response content: [{'message': 'Owner is inactive, cannot reparent the account', 'errorCode': 'CANNOT_REPARENT_RECORD', 'fields': ['AccountId']}]",2026-06-11T08:37:55.783342
006WR00000wkEbIYAU,First Casa De Marina,SET_ACCOUNT,AccountId,,Jones & Jones Communities,First Casa De Marina,Cleanup need Ironclad IDs - Taylor's Notes 6.10.26.xlsx,"error:Malformed request https://fun-power-747.my.salesforce.com/services/data/v59.0/sobjects/Opportunity/006WR00000wkEbIYAU. Response content: [{'message': 'Owner is inactive, cannot reparent the account', 'errorCode': 'CANNOT_REPARENT_RECORD', 'fields': ['AccountId']}]",2026-06-11T08:37:56.154094
006WR00000wkEbJYAU,Lombardi Apartments,SET_ACCOUNT,AccountId,,Jones & Jones Communities,Lombardi Apartments,Cleanup need Ironclad IDs - Taylor's Notes 6.10.26.xlsx,"error:Malformed request https://fun-power-747.my.salesforce.com/services/data/v59.0/sobjects/Opportunity/006WR00000wkEbJYAU. Response content: [{'message': 'Owner is inactive, cannot reparent the account', 'errorCode': 'CANNOT_REPARENT_RECORD', 'fields': ['AccountId']}]",2026-06-11T08:37:56.509755
006WR00000wkEbKYAU,The Meadows at Westlake Village,SET_ACCOUNT,AccountId,,Jones & Jones Communities,The Meadows at Westlake Village,Cleanup need Ironclad IDs - Taylor's Notes 6.10.26.xlsx,"error:Malformed request https://fun-power-747.my.salesforce.com/services/data/v59.0/sobjects/Opportunity/006WR00000wkEbKYAU. Response content: [{'message': 'Owner is inactive, cannot reparent the account', 'errorCode': 'CANNOT_REPARENT_RECORD', 'fields': ['AccountId']}]",2026-06-11T08:37:56.818296
006WR00000wkEbLYAU,Brookside Terrace Apartments,SET_ACCOUNT,AccountId,,Jones & Jones Communities,Brookside Terrace Apartments,Cleanup need Ironclad IDs - Taylor's Notes 6.10.26.xlsx,"error:Malformed request https://fun-power-747.my.salesforce.com/services/data/v59.0/sobjects/Opportunity/006WR00000wkEbLYAU. Response content: [{'message': 'Owner is inactive, cannot reparent the account', 'errorCode': 'CANNOT_REPARENT_RECORD', 'fields': ['AccountId']}]",2026-06-11T08:37:57.117684
a0BWR0000083yOs2AI,AGR-0789,SET_PAL_FIELD,IronClad_ID__c,,IC-1152,Woodland Trio The Oaks,Cleanup need Ironclad IDs - Taylor's Notes 6.10.26.xlsx,ok,2026-06-11T08:37:57.704888
a0BWR0000083yOs2AI,AGR-0789,SET_PAL_FIELD,Expiration_Date__c,,2043-11-01,Woodland Trio The Oaks,Cleanup need Ironclad IDs - Taylor's Notes 6.10.26.xlsx,ok,2026-06-11T08:37:57.704919
a0BWR0000083yOv2AI,AGR-0792,SET_PAL_FIELD,IronClad_ID__c,,IC-1152,Baldwin Manor,Cleanup need Ironclad IDs - Taylor's Notes 6.10.26.xlsx,ok,2026-06-11T08:37:58.319038
a0BWR0000083yOv2AI,AGR-0792,SET_PAL_FIELD,Expiration_Date__c,,2043-11-01,Baldwin Manor,Cleanup need Ironclad IDs - Taylor's Notes 6.10.26.xlsx,ok,2026-06-11T08:37:58.319062
a0BWR0000083yOy2AI,AGR-0795,SET_PAL_FIELD,IronClad_ID__c,,IC-1152,White Oak Terrace,Cleanup need Ironclad IDs - Taylor's Notes 6.10.26.xlsx,ok,2026-06-11T08:37:58.639948
