SF_Id,Name,Stage,Field,Before,After,Source,Timestamp,Action
006WR000011kit8YAA,ROE - 2202 US HIGHWAY 380  BRIDGEPORT TX,Proposal Sent,Sales_Status__c,Research Completed,,fix/2026-05-12-clear-stale-substatus-fields.py,2026-05-12T11:09:20,cleared
006WR000011kit9YAA,ROE - 2301 S FM 51  DECATUR TX,Engaged,Sales_Status__c,FF Sales - Tenant Interest Required,,fix/2026-05-12-clear-stale-substatus-fields.py,2026-05-12T11:09:20,cleared
006WR000011kitAYAQ,ROE - 2600 E SOUTHLAKE BLVD SOUTHLAKE TX,Proposal Sent,Sales_Status__c,Reached Out - Pending Response,,fix/2026-05-12-clear-stale-substatus-fields.py,2026-05-12T11:09:20,cleared
006WR000011kitDYAQ,ROE - 500 W SOUTHLAKE BLVD SOUTHLAKE TX,Proposal Sent,Sales_Status__c,Reached Out - Pending Response,,fix/2026-05-12-clear-stale-substatus-fields.py,2026-05-12T11:09:20,cleared
006WR000011kitEYAQ,ROE - 5250 N TARRANT PKWY FORT WORTH TX,Engaged,Sales_Status__c,FF Sales - Tenant Interest Required,,fix/2026-05-12-clear-stale-substatus-fields.py,2026-05-12T11:09:20,cleared
006WR000011kitHYAQ,ROE - 808 SCHOOLHOUSE RD HASLET TX,Proposal Sent,Sales_Status__c,Reached Out - Pending Response,,fix/2026-05-12-clear-stale-substatus-fields.py,2026-05-12T11:09:20,cleared
006WR000011kitIYAQ,ROE - 8436 DENTON HWY WATAUGA TX,Engaged,Sales_Status__c,FF Sales - Tenant Interest Required,,fix/2026-05-12-clear-stale-substatus-fields.py,2026-05-12T11:09:20,cleared
006WR000011kitPYAQ,ROE - 1212 N HIGHWAY 377  ROANOKE TX,Proposal Sent,Sales_Status__c,Reached Out - Pending Response,,fix/2026-05-12-clear-stale-substatus-fields.py,2026-05-12T11:09:20,cleared
006WR000011kitQYAQ,ROE - 125 COUNTRY VIEW DR ROANOKE TX,Proposal Sent,Sales_Status__c,Reached Out - Pending Response,,fix/2026-05-12-clear-stale-substatus-fields.py,2026-05-12T11:09:20,cleared
006WR000011kitaYAA,ROE - 5040 N TARRANT PKWY FORT WORTH TX,Proposal Sent,Sales_Status__c,Reached Out - Pending Response,,fix/2026-05-12-clear-stale-substatus-fields.py,2026-05-12T11:09:20,cleared
006WR000011kitdYAA,ROE - 6600 DENTON HWY WATAUGA TX,Contract Negotiations,Sales_Status__c,Reached Out - Pending Response,,fix/2026-05-12-clear-stale-substatus-fields.py,2026-05-12T11:09:20,cleared
006WR000011kiteYAA,ROE - 6700 DENTON FWY WATAUGA TX,Engaged,Sales_Status__c,FF Sales - Tenant Interest Required,,fix/2026-05-12-clear-stale-substatus-fields.py,2026-05-12T11:09:20,cleared
006WR000011kitiYAA,ROE - 8849 N TARRANT PKWY N RICHLAND HILLS TX,Proposal Sent,Sales_Status__c,Reached Out - Pending Response,,fix/2026-05-12-clear-stale-substatus-fields.py,2026-05-12T11:09:20,cleared
006WR000011kjHEYAY,ROE - 1855 W BASELINE RD MESA AZ,Engaged,Sales_Status__c,FF Sales - Tenant Interest Required,,fix/2026-05-12-clear-stale-substatus-fields.py,2026-05-12T11:09:20,cleared
006WR000011kjHMYAY,ROE - 1811 S ALMA SCHOOL RD MESA AZ,Engaged,Sales_Status__c,FF Sales - Tenant Interest Required,,fix/2026-05-12-clear-stale-substatus-fields.py,2026-05-12T11:09:20,cleared
006WR000011kjHTYAY,ROE - 745 W BASELINE RD MESA AZ,Engaged,Sales_Status__c,FF Sales - Tenant Interest Required,,fix/2026-05-12-clear-stale-substatus-fields.py,2026-05-12T11:09:20,cleared
006WR000011kjHaYAI,ROE - 535 E SOUTHERN AVE MESA AZ,Proposal Sent,Sales_Status__c,FF Sales - Tenant Interest Required,,fix/2026-05-12-clear-stale-substatus-fields.py,2026-05-12T11:09:20,cleared
006WR000011kjHcYAI,ROE - 127 W JUANITA AVE MESA AZ,Engaged,Sales_Status__c,FF Sales - Tenant Interest Required,,fix/2026-05-12-clear-stale-substatus-fields.py,2026-05-12T11:09:20,cleared
006WR000011kjHeYAI,ROE - 2120 W GUADALUPE RD MESA AZ,Proposal Sent,Sales_Status__c,Research Completed,,fix/2026-05-12-clear-stale-substatus-fields.py,2026-05-12T11:09:20,cleared
006WR000011kjHhYAI,ROE - 320 E 10TH DR MESA AZ,Engaged,Sales_Status__c,FF Sales - Tenant Interest Required,,fix/2026-05-12-clear-stale-substatus-fields.py,2026-05-12T11:09:20,cleared
006WR000011kjHkYAI,ROE - 2050 W GUADALUPE RD MESA AZ,Proposal Sent,Sales_Status__c,Research Completed,,fix/2026-05-12-clear-stale-substatus-fields.py,2026-05-12T11:09:20,cleared
006WR000011kjHoYAI,ROE - 1731 W BASELINE RD MESA AZ,Engaged,Sales_Status__c,FF Sales - Tenant Interest Required,,fix/2026-05-12-clear-stale-substatus-fields.py,2026-05-12T11:09:20,cleared
