opp_id,opp_name,opp_site_name,opp_state,opp_city,opp_address,opp_stage,rank,score,confidence,st_name,st_site_name,st_monday_name,st_state,st_city,st_site_status,st_already_linked_to,breakdown
006WR00000wkEcKYAU,Lexington Place (Monterey),,TX,Fort Worth,"11001 Rancho Place, Fort Worth, TX, USA",PAL/ROE Complete,2,6,,P-004483,Fort Worth_MDU_Tallgrass Village,Tallgrass Village,TX,Fort Worth,In Service,Tallgrass Village,"state+1; city_exact+3; nametoks['fort', 'worth']+2"
006WR00000wkEcKYAU,Lexington Place (Monterey),,TX,Fort Worth,"11001 Rancho Place, Fort Worth, TX, USA",PAL/ROE Complete,3,6,,P-004485,Fort Worth_MDU_Watervue,Watervue,TX,Fort Worth,In Service,Watervue Apartments,"state+1; city_exact+3; nametoks['fort', 'worth']+2"
006WR00000xuFKAYA2,Bridgeport_MDU_Federal Housing Administration,Bridgeport_MDU_Federal Housing Administration,TX,Bridgeport,1508 COBB ST UNIT 1 BRIDGEPORT TX 76426,Engaged,1,5,medium,P-003501,Bridgeport_MDU_Henderson Terrace,Henderson Terrace,TX,Bridgeport,In Service,Henderson Terrace Apartments,state+1; city_exact+3; nametoks['bridgeport']+1
006WR00000xuFKAYA2,Bridgeport_MDU_Federal Housing Administration,Bridgeport_MDU_Federal Housing Administration,TX,Bridgeport,1508 COBB ST UNIT 1 BRIDGEPORT TX 76426,Engaged,2,5,,P-006748,Bridgeport_MDU_Creekside Apartments,Creekside Apartments,TX,Bridgeport,Future,Creekside Apartments,state+1; city_exact+3; nametoks['bridgeport']+1
006WR00000xuFKAYA2,Bridgeport_MDU_Federal Housing Administration,Bridgeport_MDU_Federal Housing Administration,TX,Bridgeport,1508 COBB ST UNIT 1 BRIDGEPORT TX 76426,Engaged,3,4,,P-004312,Feeder_MDU_Henderson Terrace,Feeder_MDU_Henderson Terrace,TX,Bridgeport,Under Construction,Henderson Terrace Apartments,state+1; city_exact+3
006WR00000xuTn1YAE,KILLEEN_MDU_4308 Zephyr Rdt_APTS,KILLEEN_MDU_4308 Zephyr Rdt_APTS,TX,KILLEEN,4308 ZEPHYR RD UNIT 101 KILLEEN TX 76543,PAL/ROE Complete,1,5,medium,P-006296,Killeen_MDU_The Renaissance at Stoney Creek,The Renaissance at Stoney Creek,TX,Killeen,In Service,The Renaissance at Stoney Creek,state+1; city_exact+3; nametoks['killeen']+1
006WR00000xuTn1YAE,KILLEEN_MDU_4308 Zephyr Rdt_APTS,KILLEEN_MDU_4308 Zephyr Rdt_APTS,TX,KILLEEN,4308 ZEPHYR RD UNIT 101 KILLEEN TX 76543,PAL/ROE Complete,2,5,,P-001611,Killeen_MDU_Bay Colony Apartments,Bay Colony Apartments,TX,Killeen,In Service,Bay Colony Apartments,state+1; city_exact+3; nametoks['killeen']+1
006WR00000xuTn1YAE,KILLEEN_MDU_4308 Zephyr Rdt_APTS,KILLEEN_MDU_4308 Zephyr Rdt_APTS,TX,KILLEEN,4308 ZEPHYR RD UNIT 101 KILLEEN TX 76543,PAL/ROE Complete,3,5,,P-006777,Killeen_MDU_209 E Dean Ave,209 E Dean Ave,TX,Killeen,Future,Killeen_MDU_209 E Dean Ave,state+1; city_exact+3; nametoks['killeen']+1
006WR00000xuXoyYAE,Omaha_MDU_4616 Redman Ave,Omaha_MDU_4616 Redman Ave,NE,Omaha,4614 REDMAN AVE UNIT 10 OMAHA NE 68104,PAL/ROE Complete,1,6,medium,P-005702,Omaha_MDU_The Redman Townhomes & Apartments,4470 Redman Townhomes,NE,Omaha,In Service,Omaha_MDU_The Redman Townhomes & Apartments,"state+1; city_exact+3; nametoks['omaha', 'redman']+2"
006WR00000xuXoyYAE,Omaha_MDU_4616 Redman Ave,Omaha_MDU_4616 Redman Ave,NE,Omaha,4614 REDMAN AVE UNIT 10 OMAHA NE 68104,PAL/ROE Complete,2,5,,P-006738,Omaha_MDU_Bristol Square Apts,Bristol Square Apts,NE,Omaha,Future,Bristol Square Apartments,state+1; city_exact+3; nametoks['omaha']+1
006WR00000xuXoyYAE,Omaha_MDU_4616 Redman Ave,Omaha_MDU_4616 Redman Ave,NE,Omaha,4614 REDMAN AVE UNIT 10 OMAHA NE 68104,PAL/ROE Complete,3,5,,P-005791,Omaha_MDU_6303 Taylor Cir,6303 Taylor Circle,NE,Omaha,In Service,Omaha_MDU_6303 Taylor Cir,state+1; city_exact+3; nametoks['omaha']+1
006WR00000xumrOYAQ,New Added Site,NEW ADDED SITE,NE,Omaha,107 S 87 ST Omaha NE 68114,PAL/ROE Complete,1,5,medium,P-006738,Omaha_MDU_Bristol Square Apts,Bristol Square Apts,NE,Omaha,Future,Bristol Square Apartments,state+1; city_exact+3; nametoks['omaha']+1
006WR00000xumrOYAQ,New Added Site,NEW ADDED SITE,NE,Omaha,107 S 87 ST Omaha NE 68114,PAL/ROE Complete,2,5,,P-005791,Omaha_MDU_6303 Taylor Cir,6303 Taylor Circle,NE,Omaha,In Service,Omaha_MDU_6303 Taylor Cir,state+1; city_exact+3; nametoks['omaha']+1
006WR00000xumrOYAQ,New Added Site,NEW ADDED SITE,NE,Omaha,107 S 87 ST Omaha NE 68114,PAL/ROE Complete,3,5,,P-006320,Omaha_MDU_4704 Cass St,4706 Cass St,NE,Omaha,Future,Omaha_MDU_4704 Cass St,state+1; city_exact+3; nametoks['omaha']+1
006WR00000xuxpsYAA,Omaha_MDU_4618 Redman Ave,Omaha_MDU_4618 Redman Ave,NE,Omaha,4618 REDMAN AVE UNIT 1 OMAHA NE 68104,PAL/ROE Complete,1,6,medium,P-005702,Omaha_MDU_The Redman Townhomes & Apartments,4470 Redman Townhomes,NE,Omaha,In Service,Omaha_MDU_The Redman Townhomes & Apartments,"state+1; city_exact+3; nametoks['omaha', 'redman']+2"
006WR00000xuxpsYAA,Omaha_MDU_4618 Redman Ave,Omaha_MDU_4618 Redman Ave,NE,Omaha,4618 REDMAN AVE UNIT 1 OMAHA NE 68104,PAL/ROE Complete,2,5,,P-006738,Omaha_MDU_Bristol Square Apts,Bristol Square Apts,NE,Omaha,Future,Bristol Square Apartments,state+1; city_exact+3; nametoks['omaha']+1
006WR00000xuxpsYAA,Omaha_MDU_4618 Redman Ave,Omaha_MDU_4618 Redman Ave,NE,Omaha,4618 REDMAN AVE UNIT 1 OMAHA NE 68104,PAL/ROE Complete,3,5,,P-005791,Omaha_MDU_6303 Taylor Cir,6303 Taylor Circle,NE,Omaha,In Service,Omaha_MDU_6303 Taylor Cir,state+1; city_exact+3; nametoks['omaha']+1
006WR00000xv9auYAA,Bridgeport_SA01_FDH08_PA02,BRIDGEPORT_SA01_FDH08_PA02,TX,BRIDGEPORT,401 TURKEY CREEK TRL UNIT 101 BRIDGEPORT TX 76426,PAL/ROE Complete,1,5,medium,P-003501,Bridgeport_MDU_Henderson Terrace,Henderson Terrace,TX,Bridgeport,In Service,Henderson Terrace Apartments,state+1; city_exact+3; nametoks['bridgeport']+1
006WR00000xv9auYAA,Bridgeport_SA01_FDH08_PA02,BRIDGEPORT_SA01_FDH08_PA02,TX,BRIDGEPORT,401 TURKEY CREEK TRL UNIT 101 BRIDGEPORT TX 76426,PAL/ROE Complete,2,5,,P-006748,Bridgeport_MDU_Creekside Apartments,Creekside Apartments,TX,Bridgeport,Future,Creekside Apartments,state+1; city_exact+3; nametoks['bridgeport']+1
006WR00000xv9auYAA,Bridgeport_SA01_FDH08_PA02,BRIDGEPORT_SA01_FDH08_PA02,TX,BRIDGEPORT,401 TURKEY CREEK TRL UNIT 101 BRIDGEPORT TX 76426,PAL/ROE Complete,3,4,,P-004312,Feeder_MDU_Henderson Terrace,Feeder_MDU_Henderson Terrace,TX,Bridgeport,Under Construction,Henderson Terrace Apartments,state+1; city_exact+3
006WR00000xvYe6YAE,Omaha_MDU_4484 Redman Ave,Omaha_MDU_4484 Redman Ave,NE,Omaha,4484 REDMAN AVE UNIT A OMAHA NE 68111,PAL/ROE Complete,1,6,medium,P-005702,Omaha_MDU_The Redman Townhomes & Apartments,4470 Redman Townhomes,NE,Omaha,In Service,Omaha_MDU_The Redman Townhomes & Apartments,"state+1; city_exact+3; nametoks['omaha', 'redman']+2"
