SF_Id,Name,Action,Field,Before,After,Source,Result,Timestamp
006WR00000wkEadYAE,Krystal Terrace,REASSIGN_OWNER,OwnerId,005WR00000CXEZyYAP,005WR00000Ewjj3YAB,Cleanup need Ironclad IDs - Taylor's Notes 6.10.26.xlsx (reassign+account),ok,2026-06-11T08:47:52.151688
006WR00000wkEadYAE,Krystal Terrace,SET_ACCOUNT,AccountId,(blank),001WR00001SPM7zYAH,Cleanup need Ironclad IDs - Taylor's Notes 6.10.26.xlsx (reassign+account),ok,2026-06-11T08:47:52.473865
006WR00000wkEaeYAE,Parkway Terrace,REASSIGN_OWNER,OwnerId,005WR00000CXEZyYAP,005WR00000Ewjj3YAB,Cleanup need Ironclad IDs - Taylor's Notes 6.10.26.xlsx (reassign+account),ok,2026-06-11T08:47:52.928335
006WR00000wkEaeYAE,Parkway Terrace,SET_ACCOUNT,AccountId,(blank),001WR00001SPM7zYAH,Cleanup need Ironclad IDs - Taylor's Notes 6.10.26.xlsx (reassign+account),ok,2026-06-11T08:47:53.277622
006WR00000wkEafYAE,Kling Trio Apartments,REASSIGN_OWNER,OwnerId,005WR00000CXEZyYAP,005WR00000Ewjj3YAB,Cleanup need Ironclad IDs - Taylor's Notes 6.10.26.xlsx (reassign+account),ok,2026-06-11T08:47:53.706875
006WR00000wkEafYAE,Kling Trio Apartments,SET_ACCOUNT,AccountId,(blank),001WR00001SPM7zYAH,Cleanup need Ironclad IDs - Taylor's Notes 6.10.26.xlsx (reassign+account),ok,2026-06-11T08:47:53.972629
006WR00000wkEagYAE,Jaclyn Terrace,REASSIGN_OWNER,OwnerId,005WR00000CXEZyYAP,005WR00000Ewjj3YAB,Cleanup need Ironclad IDs - Taylor's Notes 6.10.26.xlsx (reassign+account),ok,2026-06-11T08:47:54.467118
006WR00000wkEagYAE,Jaclyn Terrace,SET_ACCOUNT,AccountId,(blank),001WR00001SPM7zYAH,Cleanup need Ironclad IDs - Taylor's Notes 6.10.26.xlsx (reassign+account),ok,2026-06-11T08:47:54.794579
006WR00000wkEahYAE,Brody Terrace (Riverside),REASSIGN_OWNER,OwnerId,005WR00000CXEZyYAP,005WR00000Ewjj3YAB,Cleanup need Ironclad IDs - Taylor's Notes 6.10.26.xlsx (reassign+account),ok,2026-06-11T08:47:55.255744
006WR00000wkEahYAE,Brody Terrace (Riverside),SET_ACCOUNT,AccountId,(blank),001WR00001SPM7zYAH,Cleanup need Ironclad IDs - Taylor's Notes 6.10.26.xlsx (reassign+account),ok,2026-06-11T08:47:55.641786
006WR00000wkEaiYAE,Parkview Terrace,REASSIGN_OWNER,OwnerId,005WR00000CXEZyYAP,005WR00000Ewjj3YAB,Cleanup need Ironclad IDs - Taylor's Notes 6.10.26.xlsx (reassign+account),ok,2026-06-11T08:47:56.133345
006WR00000wkEaiYAE,Parkview Terrace,SET_ACCOUNT,AccountId,(blank),001WR00001SPM7zYAH,Cleanup need Ironclad IDs - Taylor's Notes 6.10.26.xlsx (reassign+account),ok,2026-06-11T08:47:56.480558
006WR00000wkEajYAE,Roxanne Apartments,REASSIGN_OWNER,OwnerId,005WR00000CXEZyYAP,005WR00000Ewjj3YAB,Cleanup need Ironclad IDs - Taylor's Notes 6.10.26.xlsx (reassign+account),ok,2026-06-11T08:47:56.937322
006WR00000wkEajYAE,Roxanne Apartments,SET_ACCOUNT,AccountId,(blank),001WR00001SPM7zYAH,Cleanup need Ironclad IDs - Taylor's Notes 6.10.26.xlsx (reassign+account),ok,2026-06-11T08:47:57.323176
006WR00000wkEakYAE,Riverside Villa Apartments,REASSIGN_OWNER,OwnerId,005WR00000CXEZyYAP,005WR00000Ewjj3YAB,Cleanup need Ironclad IDs - Taylor's Notes 6.10.26.xlsx (reassign+account),ok,2026-06-11T08:47:57.827433
006WR00000wkEakYAE,Riverside Villa Apartments,SET_ACCOUNT,AccountId,(blank),001WR00001SPM7zYAH,Cleanup need Ironclad IDs - Taylor's Notes 6.10.26.xlsx (reassign+account),ok,2026-06-11T08:47:58.143762
