Id,name,state,st_status,old_property_category,new_property_category,old_mdu_categorization,new_mdu_categorization
006WR00000wkEc6YAE,"Wright Senior",TX,Out of Footprint,Cat 2,Cat 3,NearNet,OffNet
006WR00000wkEc7YAE,"Maple Grove Villas",IA,Out of Footprint,Cat 3,Cat 3,,OffNet
006WR00000wkEc9YAE,"Heatherwilde Park AKA Cove at Heatherwilde",TX,Out of Footprint,Cat 2,Cat 3,NearNet,OffNet
006WR00000wkEcFYAU,"Equinox on Country Club",AZ,Out of Footprint,Cat 1,Cat 3,OffNet,OffNet
006WR00000wkEcGYAU,"The Retreat at City Center",CO,Out of Footprint,Cat 3,Cat 3,,OffNet
006WR00000wkEcPYAU,"Liggins Tower",CO,Out of Footprint,Cat 3,Cat 3,,OffNet
006WR00000wkEcYYAU,"Waterfront Landing",WA,Out of Footprint,Cat 3,Cat 3,,OffNet
006WR00000wkEcaYAE,"Wheatbaker Patio Home Apartments",MT,Out of Footprint,Cat 3,Cat 3,,OffNet
006WR00000wkEcbYAE,"Alexandra Apartments",IA,Out of Footprint,Cat 3,Cat 3,,OffNet
006WR00000wkEcdYAE,"The Retreat on 6th",IA,Out of Footprint,Cat 3,Cat 3,,OffNet
006WR00000wkEceYAE,"Pheasant Run Apartments",IA,Out of Footprint,Cat 3,Cat 3,,OffNet
006WR00000wkEckYAE,"Crosspointe Vista",WA,Out of Footprint,Cat 3,Cat 3,,OffNet
006WR00000wkEclYAE,"Lucille on Roosevelt",WA,Out of Footprint,Cat 3,Cat 3,,OffNet
006WR00000wkFbmYAE,"Lone Oak Apartments",TX,Near Net,Cat 3,Cat 2,,NearNet
006WR00000wkFbpYAE,"Remington Ridge",TX,Near Net,Cat 3,Cat 2,,NearNet
006WR00000xuXoyYAE,"Omaha_MDU_4616 Redman Ave",NE,On Net,Cat 1,Cat 1,,OnNet
006WR00000xuxpsYAA,"Omaha_MDU_4618 Redman Ave",NE,On Net,Cat 1,Cat 1,,OnNet
006WR00000xvYe6YAE,"Omaha_MDU_4484 Redman Ave",NE,On Net,Cat 1,Cat 1,,OnNet
006WR00000xvovmYAA,"Mesa_MDU_350 E 5th Ave",AZ,On Net,,Cat 1,,OnNet
006WR00000xwEmzYAE,"Mesa_MDU_202-228 E 2nd Ave",AZ,On Net,,Cat 1,,OnNet
006WR00000xwEobYAE,"Mesa_MDU_36 S Lesueur",AZ,On Net,,Cat 1,,OnNet
006WR00000xwFMTYA2,"Omaha_MDU_Birchwood Apts",NE,On Net,Cat 1,Cat 1,,OnNet
006WR00000xwFcbYAE,"Omaha_MDU_4606 Redman Ave",NE,On Net,Cat 1,Cat 1,,OnNet
006WR00000y3jyvYAA,"Omaha_MDU_4612 Redman Ave",NE,On Net,,Cat 1,,OnNet
006WR00000yuOtDYAU,"Pacifica Leucadia HOA",CA,On Net,Cat 2,Cat 1,,OnNet
006WR00000yvz12YAA,"Cambria HOA",CA,Out of Footprint,Cat 1,Cat 3,,OffNet
006WR00001DPGJLYA5,"4750 Lafayette Ave",NE,On Net,Cat 1,Cat 1,,OnNet
