SF_Id,Name,Field,Before,After,Source,Timestamp,Action
006WR00000wkDuBYAU,Riverview Townhomes,Property_Category__c,(null/Cat 3),Cat 1,vetro_category_classifier.py v1 (loose rule),2026-04-24T13:49:49,backfill (later corrected)
006WR00000yugutYAA,Ocean View Private Road,Property_Category__c,(null/Cat 3),Cat 1,vetro_category_classifier.py v1 (loose rule),2026-04-24T13:49:49,backfill (later corrected)
006WR00000yur0lYAA,1342 Eolus Ave,Property_Category__c,(null/Cat 3),Cat 1,vetro_category_classifier.py v1 (loose rule),2026-04-24T13:49:49,backfill (later corrected)
006WR00000yvMEBYA2,Hacienda de la Playa HOA,Property_Category__c,(null/Cat 3),Cat 1,vetro_category_classifier.py v1 (loose rule),2026-04-24T13:49:49,backfill (later corrected)
006WR00000yvvNCYAY,950-946-942 Hygeia Avenue,Property_Category__c,(null/Cat 3),Cat 1,vetro_category_classifier.py v1 (loose rule),2026-04-24T13:49:49,backfill (later corrected)
006WR00000ywQveYAE,La Costa Town Square,Property_Category__c,(null/Cat 3),Cat 1,vetro_category_classifier.py v1 (loose rule),2026-04-24T13:49:49,backfill (later corrected)
006WR00000ywTNFYA2,876 Bonita Drive,Property_Category__c,(null/Cat 3),Cat 1,vetro_category_classifier.py v1 (loose rule),2026-04-24T13:49:49,backfill (later corrected)
006WR00000ywTYXYA2,978 Hygeia Ave,Property_Category__c,(null/Cat 3),Cat 1,vetro_category_classifier.py v1 (loose rule),2026-04-24T13:49:49,backfill (later corrected)
006WR000011aevbYAA,Church Hill Apartments,Property_Category__c,(null/Cat 3),Cat 1,vetro_category_classifier.py v1 (loose rule),2026-04-24T13:49:49,backfill (later corrected)
006WR000011anIzYAI,Alhambra Apartments,Property_Category__c,(null/Cat 3),Cat 1,vetro_category_classifier.py v1 (loose rule),2026-04-24T13:49:49,backfill (later corrected)
006WR000011arrAYAQ,740 E 3rd Ave,Property_Category__c,(null/Cat 3),Cat 1,vetro_category_classifier.py v1 (loose rule),2026-04-24T13:49:49,backfill (later corrected)
006WR000011bPfxYAE,Dundee Creek Apartments,Property_Category__c,(null/Cat 3),Cat 1,vetro_category_classifier.py v1 (loose rule),2026-04-24T13:49:49,backfill (later corrected)
006WR000011bcuxYAA,Ville de Sante Apartments,Property_Category__c,(null/Cat 3),Cat 1,vetro_category_classifier.py v1 (loose rule),2026-04-24T13:49:49,backfill (later corrected)
006WR000011bsupYAA,Benson Apartments,Property_Category__c,(null/Cat 3),Cat 1,vetro_category_classifier.py v1 (loose rule),2026-04-24T13:49:49,backfill (later corrected)
006WR000011c5C6YAI,5120-5128 NW Radial Hwy,Property_Category__c,(null/Cat 3),Cat 1,vetro_category_classifier.py v1 (loose rule),2026-04-24T13:49:49,backfill (later corrected)
006WR000011cGDyYAM,University Place Townhomes,Property_Category__c,(null/Cat 3),Cat 1,vetro_category_classifier.py v1 (loose rule),2026-04-24T13:49:49,backfill (later corrected)
006WR000011cWnNYAU,6302 Boyd Street,Property_Category__c,(null/Cat 3),Cat 1,vetro_category_classifier.py v1 (loose rule),2026-04-24T13:49:49,backfill (later corrected)
006WR000011cWtpYAE,Heritage Apartments,Property_Category__c,(null/Cat 3),Cat 1,vetro_category_classifier.py v1 (loose rule),2026-04-24T13:49:49,backfill (later corrected)
006WR000011cWvRYAU,Sandra Ann Apartments,Property_Category__c,(null/Cat 3),Cat 1,vetro_category_classifier.py v1 (loose rule),2026-04-24T13:49:49,backfill (later corrected)
006WR00000wjKFtYAM,Whitley Place,Property_Category__c,(null/Cat 3),Cat 2,vetro_category_classifier.py v1,2026-04-24T13:49:49,backfill (later corrected)
006WR00000wjnlMYAQ,Riverside Apartments,Property_Category__c,(null/Cat 3),Cat 2,vetro_category_classifier.py v1,2026-04-24T13:49:49,backfill (later corrected)
006WR00000wjnldYAA,Town and Country Apartments,Property_Category__c,(null/Cat 3),Cat 2,vetro_category_classifier.py v1,2026-04-24T13:49:49,backfill (later corrected)
006WR00000wk1EkYAI,Cielo on 5th (f/k/a Equinox on 5th),Property_Category__c,(null/Cat 3),Cat 2,vetro_category_classifier.py v1,2026-04-24T13:49:49,backfill (later corrected)
006WR00000wk1EoYAI,Villa Pacifica Apartments - Tucson,Property_Category__c,(null/Cat 3),Cat 2,vetro_category_classifier.py v1,2026-04-24T13:49:49,backfill (later corrected)
006WR00000wkA9HYAU,Cypress View Villas,Property_Category__c,(null/Cat 3),Cat 2,vetro_category_classifier.py v1,2026-04-24T13:49:49,backfill (later corrected)
006WR00000wkABaYAM,Waterwood Apartments,Property_Category__c,(null/Cat 3),Cat 2,vetro_category_classifier.py v1,2026-04-24T13:49:49,backfill (later corrected)
006WR00000wkBokYAE,Shady Creek Ranch Apartments,Property_Category__c,(null/Cat 3),Cat 2,vetro_category_classifier.py v1,2026-04-24T13:49:49,backfill (later corrected)
006WR00000wkBpCYAU,Grove at Nolan Creek,Property_Category__c,(null/Cat 3),Cat 2,vetro_category_classifier.py v1,2026-04-24T13:49:49,backfill (later corrected)
006WR00000wkBqFYAU,The Langford,Property_Category__c,(null/Cat 3),Cat 2,vetro_category_classifier.py v1,2026-04-24T13:49:49,backfill (later corrected)
006WR00000wkCk6YAE,Main Street Square,Property_Category__c,(null/Cat 3),Cat 2,vetro_category_classifier.py v1,2026-04-24T13:49:49,backfill (later corrected)
006WR00000wkEZwYAM,Western Hills Apartments,Property_Category__c,(null/Cat 3),Cat 2,vetro_category_classifier.py v1,2026-04-24T13:49:49,backfill (later corrected)
006WR00000wkEa6YAE,Briarwood Apartments,Property_Category__c,(null/Cat 3),Cat 2,vetro_category_classifier.py v1,2026-04-24T13:49:49,backfill (later corrected)
006WR00000wkEaEYAU,Lakeview Court Apartments,Property_Category__c,(null/Cat 3),Cat 2,vetro_category_classifier.py v1,2026-04-24T13:49:49,backfill (later corrected)
006WR00000wkEzdYAE,The Wyatt at Presidio Junction Apartment Homes,Property_Category__c,(null/Cat 3),Cat 2,vetro_category_classifier.py v1,2026-04-24T13:49:49,backfill (later corrected)
006WR00000wkEzeYAE,Sire Wellington Apartments,Property_Category__c,(null/Cat 3),Cat 2,vetro_category_classifier.py v1,2026-04-24T13:49:49,backfill (later corrected)
006WR00000wkEzfYAE,Bell Presidio,Property_Category__c,(null/Cat 3),Cat 2,vetro_category_classifier.py v1,2026-04-24T13:49:49,backfill (later corrected)
006WR00000wkEzgYAE,SageStone Village,Property_Category__c,(null/Cat 3),Cat 2,vetro_category_classifier.py v1,2026-04-24T13:49:49,backfill (later corrected)
006WR00000wkEzhYAE,SageWater Village,Property_Category__c,(null/Cat 3),Cat 2,vetro_category_classifier.py v1,2026-04-24T13:49:49,backfill (later corrected)
006WR00000wkEziYAE,Cortland Presidio West,Property_Category__c,(null/Cat 3),Cat 2,vetro_category_classifier.py v1,2026-04-24T13:49:49,backfill (later corrected)
006WR00000wkEzkYAE,Solay Fort Worth Apartments,Property_Category__c,(null/Cat 3),Cat 2,vetro_category_classifier.py v1,2026-04-24T13:49:49,backfill (later corrected)
006WR00000wkEzlYAE,Watermere at Southlake,Property_Category__c,(null/Cat 3),Cat 2,vetro_category_classifier.py v1,2026-04-24T13:49:49,backfill (later corrected)
006WR00000wkEznYAE,Forena Revelstoke Apartments,Property_Category__c,(null/Cat 3),Cat 2,vetro_category_classifier.py v1,2026-04-24T13:49:49,backfill (later corrected)
006WR00000wkEzoYAE,The Legends at Eagle Mountain,Property_Category__c,(null/Cat 3),Cat 2,vetro_category_classifier.py v1,2026-04-24T13:49:49,backfill (later corrected)
006WR00000wkF0wYAE,Presidium at Revelstoke,Property_Category__c,(null/Cat 3),Cat 2,vetro_category_classifier.py v1,2026-04-24T13:49:49,backfill (later corrected)
006WR00000ywSuDYAU,Santa Fe Business Park,Property_Category__c,(null/Cat 3),Cat 2,vetro_category_classifier.py v1,2026-04-24T13:49:49,backfill (later corrected)
006WR000011awSdYAI,Lookout Ridge Apartments,Property_Category__c,(null/Cat 3),Cat 2,vetro_category_classifier.py v1,2026-04-24T13:49:49,backfill (later corrected)
006WR000011bxo2YAA,Sunset Arms,Property_Category__c,(null/Cat 3),Cat 2,vetro_category_classifier.py v1,2026-04-24T13:49:49,backfill (later corrected)
006WR000011cMfyYAE,Discovery Village at Alliance Town Center (Riverside),Property_Category__c,(null/Cat 3),Cat 2,vetro_category_classifier.py v1,2026-04-24T13:49:49,backfill (later corrected)
