Id,Name,Next_Action__c,result,detail
006WR00000wk9Z9YAI,Residences of Stillwater,Moved from Closed Lost - No Decision / Non-Responsive to Prospects per 7/23/2026 call,OK,
006WR00000wkDLsYAM,Williamson At The Overlook,Moved from Closed Lost - No Decision / Non-Responsive to Prospects per 7/23/2026 call,OK,
006WR00000wkDtGYAU,HARKER_HEIGHTS_MDU_207-217 W Beeline MHP,Moved from Closed Lost - No Decision / Non-Responsive to Prospects per 7/23/2026 call,OK,
006WR00000xwGtdYAE,HARKER HEIGHTS_MDU_Cedar_Knob_RD MHP,Moved from Closed - Contact Info to Prospects per 7/23/2026 call,OK,
006WR00000xwGdVYAU,HARKER HEIGHTS_MDU_JR's_Trailer_Park,Moved from Closed - Contact Info to Prospects per 7/23/2026 call,OK,
006WR00000wkDtHYAU,Landmark Oak_Mobile_Park,Moved from Closed Lost - No Decision / Non-Responsive to Prospects per 7/23/2026 call,OK,
006WR00000xwAl0YAE,Harker Heights_MDU_Mockingbird Ln,Moved from Closed - Contact Info to Prospects per 7/23/2026 call,OK,
006WR00000wkABwYAM,Pleasant View MHP,Moved from Closed Lost - No Decision / Non-Responsive to Prospects per 7/23/2026 call,OK,
006WR00000wkABrYAM,Star Estates MHP,Moved from Closed Lost - No Decision / Non-Responsive to Prospects per 7/23/2026 call,OK,
006WR00000xwGaHYAU,Harker Heights_MDU_Village Apts,Moved from Closed - Contact Info to Prospects per 7/23/2026 call,OK,
006WR00000wkCjiYAE,Sandstone Dr Townhomes,Moved from Closed Lost - No Decision / Non-Responsive to Prospects per 7/23/2026 call,OK,
006WR00000wkDtKYAU,Valley View RV Park,Moved from Closed Lost - No Decision / Non-Responsive to Prospects per 7/23/2026 call,OK,
006WR00000wjKFsYAM,Evergreen At Keller,Moved from Closed Lost - No Decision / Non-Responsive to Prospects per 7/23/2026 call,OK,
006WR00000xw4XZYAY,Killeen_MDU_1103-1109 Harbour Ave,Moved from Closed - Contact Info to Prospects per 7/23/2026 call,OK,
006WR00000xw1oAYAQ,KILLEEN_MDU_601_SE_13th_AVE_Mobile_Park,Moved from Closed - Contact Info to Prospects per 7/23/2026 call,OK,
006WR00000wkDM2YAM,The Forum Apartments FKA Archstone Apartments,Moved from Closed Lost - No Decision / Non-Responsive to Prospects per 7/23/2026 call,OK,
006WR00000wkABxYAM,Liberty Landing AKA Century Park Apartments,Moved from Closed Lost - No Decision / Non-Responsive to Prospects per 7/23/2026 call,OK,
006WR00000wkA9DYAU,College Park Apartments,Moved from Closed Lost - No Decision / Non-Responsive to Prospects per 7/23/2026 call,OK,
006WR00000wkClpYAE,Copper Mountain,Moved from Closed Lost - Lost to Competitor to Prospects per 7/23/2026 call,OK,
006WR00000wkDt8YAE,Dimple St MHP,Moved from Closed Lost - No Decision / Non-Responsive to Prospects per 7/23/2026 call,OK,
006WR00000wkDsxYAE,Highlander Apartments,Moved from Closed Lost - No Decision / Non-Responsive to Prospects per 7/23/2026 call,OK,
006WR00000wk9Z7YAI,Hillcrest Apartments,Moved from Closed Lost - No Decision / Non-Responsive to Prospects per 7/23/2026 call,OK,
006WR00000wkCldYAE,Keystone Apartments,Moved from Closed Lost - No Decision / Non-Responsive to Prospects per 7/23/2026 call,OK,
006WR00000wkDtLYAU,Killeen Housing Authority,Moved from Closed Lost - No Decision / Non-Responsive to Prospects per 7/23/2026 call,OK,
006WR00000wkDtFYAU,Kings Arms Apartment II,Moved from Closed Lost - No Decision / Non-Responsive to Prospects per 7/23/2026 call,OK,
006WR00000wkCkWYAU,Liberty Landing Apartments,Moved from Closed Lost - No Decision / Non-Responsive to Prospects per 7/23/2026 call,OK,
006WR00000wkABzYAM,KILLEEN_MDU_Lowrance HOA,Moved from Closed Lost - No Decision / Non-Responsive to Prospects per 7/23/2026 call,OK,
006WR00000wkDM8YAM,Stone Creek Apartments,Moved from Closed Lost - No Decision / Non-Responsive to Prospects per 7/23/2026 call,OK,
006WR00000wk9StYAI,Summer Park _ FF Freddy,Moved from On Hold to Prospects per 7/23/2026 call,OK,
006WR00000wkDMVYA2,The Dorel,Moved from Closed Lost - No Decision / Non-Responsive to Prospects per 7/23/2026 call,OK,
006WR00000wkClGYAU,The Grove at Killeen,Moved from On Hold to Prospects per 7/23/2026 call,OK,
006WR00000wkA92YAE,The Springs at 1100,Moved from Closed Lost - No Decision / Non-Responsive to Prospects per 7/23/2026 call,OK,
006WR00000wjKGNYA2,Western Oaks Apartments,Moved from Closed Lost - No Decision / Non-Responsive to Prospects per 7/23/2026 call,OK,
006WR00000xwBIsYAM,Mineral Wells_MDU_707 NW 4TH AVE,Moved from Closed Lost - Other to Prospects per 7/23/2026 call,OK,
006WR00000wkABqYAM,The Dalton Apartments,Moved from Closed Lost - No Decision / Non-Responsive to Prospects per 7/23/2026 call,OK,
006WR00000wkC70YAE,Mac's Mobile Home Park/ Twin Oaks II,Moved from Closed Lost - No Decision / Non-Responsive to Prospects per 7/23/2026 call,OK,
006WR00000xwEzuYAE,Omaha_MDU_5314-5322 Corby St,Moved from Closed Lost - Other to Prospects per 7/23/2026 call,OK,
006WR000011bsupYAA,Benson Apartments,Moved from Prospecting to Prospects per 7/23/2026 call,OK,
006WR00000wkA8fYAE,Bernard Richard Apartments,Moved from Closed Lost - No Decision / Non-Responsive to Prospects per 7/23/2026 call,OK,
006WR00000wkDswYAE,Crown Tower,Moved from Closed Lost - Other to Prospects per 7/23/2026 call,OK,
006WR00000wkA8IYAU,Keystone Park Apartments,Moved from Closed Lost - No Decision / Non-Responsive to Prospects per 7/23/2026 call,OK,
006WR00000wj8KHYAY,Kings Gate Senior Apartments,Moved from Closed Lost - No Decision / Non-Responsive to Prospects per 7/23/2026 call,OK,
006WR00000xwGFJYA2,Omaha_MDU_Park Lane Apartments,Moved from Closed Lost - Other to Prospects per 7/23/2026 call,OK,
006WR00000xwFUXYA2,OMAHA_MDU_Redman AVE APTS,Moved from Closed Lost - Other to Prospects per 7/23/2026 call,OK,
006WR00000wj8KQYAY,Arboretum Village,Moved from Closed Lost - No Decision / Non-Responsive to Prospects per 7/23/2026 call,OK,
006WR00000wkA91YAE,Bloomfield Forum,Moved from Closed Lost - No Decision / Non-Responsive to Prospects per 7/23/2026 call,OK,
006WR00000wkBTiYAM,Clove Apartments,Moved from Closed Lost - No Decision / Non-Responsive to Prospects per 7/23/2026 call,OK,
006WR00000wkDsJYAU,Courtyard 72,Moved from Closed Lost - Lost to Competitor to Prospects per 7/23/2026 call,OK,
006WR00000wj8KTYAY,Embassy Park Apartments,Moved from Closed Lost - No Decision / Non-Responsive to Prospects per 7/23/2026 call,OK,
006WR00000wkDMTYA2,Martinique Apartments,Moved from Closed Lost - No Decision / Non-Responsive to Prospects per 7/23/2026 call,OK,
006WR00000wkCkfYAE,Summit & Bloomfield Townhomes,Moved from Closed Lost - No Decision / Non-Responsive to Prospects per 7/23/2026 call,OK,
006WR00000wkCjjYAE,Irvington Heights,Moved from Closed - Contact Info to Prospects per 7/23/2026 call,OK,
006WR00000wkBTqYAM,Woodbridge Senior Living [Connect55+],Moved from Closed Lost - No Budget / Lost Funding to Prospects per 7/23/2026 call,OK,
006WR00000xvzZSYAY,Omaha_MDU_Kelli-Gene Apts,Moved from Closed Lost - Other to Prospects per 7/23/2026 call,OK,
006WR00000xvcMkYAI,Omaha_MDU_1015 N 47TH AVE,Moved from Closed Lost - Other to Prospects per 7/23/2026 call,OK,
006WR00000xwEwfYAE,OMAHA_MDU_1410 N 45th St_APTS,Moved from Closed Lost - Other to Prospects per 7/23/2026 call,OK,
006WR00000xwFW9YAM,Omaha_MDU_4505 Lafayette Ave Halford Apartments,Moved from Closed Lost - Other to Prospects per 7/23/2026 call,OK,
006WR00000xwFZNYA2,Omaha_MDU_4513 Lafayette Ave,Moved from Closed Lost - Other to Prospects per 7/23/2026 call,OK,
006WR00000xwFazYAE,Omaha_MDU_4524 Lafayette Ave,Moved from Closed Lost - No Decision / Non-Responsive to Prospects per 7/23/2026 call,OK,
006WR00000xw49MYAQ,Omaha_MDU_4544 NICHOLAS ST,Moved from Closed Lost - Other to Prospects per 7/23/2026 call,OK,
006WR00000xwFj3YAE,Omaha_MDU_4705 Burdette St,Moved from Closed Lost - Other to Prospects per 7/23/2026 call,OK,
006WR00000xuPxsYAE,Omaha_MDU_4723-4725-4727 Cass St,Moved from Closed Lost - Other to Prospects per 7/23/2026 call,OK,
006WR00000xvdKRYAY,Omaha_MDU_4804-4806 Capital Ave,Moved from Closed Lost - Other to Prospects per 7/23/2026 call,OK,
006WR00000xwG0nYAE,Omaha_MDU_4904 Davenport St,Moved from Closed Lost - Other to Prospects per 7/23/2026 call,OK,
006WR00000xwChyYAE,Omaha_MDU_4907 Davenport St,Moved from Closed Lost - Other to Prospects per 7/23/2026 call,OK,
006WR00000xufUnYAI,Omaha_MDU_4923-4925 Webster St,Moved from Closed Lost - Other to Prospects per 7/23/2026 call,OK,
006WR00000xwG8rYAE,Omaha_MDU_5005-5007 California St,Moved from Closed Lost - Other to Prospects per 7/23/2026 call,OK,
006WR00000xwGDhYAM,Omaha_MDU_5102 Capital Ave,Moved from Closed Lost - Other to Prospects per 7/23/2026 call,OK,
006WR00000xviQYYAY,Omaha_MDU_618-636 N 46th St,Moved from Closed Lost - Other to Prospects per 7/23/2026 call,OK,
006WR00000xwGOzYAM,Omaha_MDU_706 N 50th St,Moved from Closed Lost - Other to Prospects per 7/23/2026 call,OK,
006WR00000xv9KmYAI,Omaha_MDU_Century House Apartments,Moved from Closed Lost - Other to Prospects per 7/23/2026 call,OK,
006WR00000xw8eMYAQ,Omaha_MDU_Cherry Hill Apts,Moved from Closed Lost - Other to Prospects per 7/23/2026 call,OK,
