SF_Id,Name,Object,Field,Before,After,Source,Timestamp,Action
006WR00000wkDuhYAE,The Park West,Opportunity,StageName,EMA/Bulk Complete,Marketing/Bulk Complete,stage_rename_emabulk_to_marketingbulk_2026-05-05,2026-05-05,UPDATE
006WR00000wkDuiYAE,Summerset Village Apartments,Opportunity,StageName,EMA/Bulk In Progress,Marketing/Bulk In Progress,stage_rename_emabulk_to_marketingbulk_2026-05-05,2026-05-05,UPDATE
006WR00000wkDujYAE,Villa Boitano 2,Opportunity,StageName,EMA/Bulk Complete,Marketing/Bulk Complete,stage_rename_emabulk_to_marketingbulk_2026-05-05,2026-05-05,UPDATE
006WR00000wkDukYAE,Cimarron Estates,Opportunity,StageName,EMA/Bulk In Progress,Marketing/Bulk In Progress,stage_rename_emabulk_to_marketingbulk_2026-05-05,2026-05-05,UPDATE
006WR00000wkDulYAE,104 North Apt,Opportunity,StageName,EMA/Bulk Complete,Marketing/Bulk Complete,stage_rename_emabulk_to_marketingbulk_2026-05-05,2026-05-05,UPDATE
006WR00000wkDumYAE,Misty Ridge,Opportunity,StageName,EMA/Bulk In Progress,Marketing/Bulk In Progress,stage_rename_emabulk_to_marketingbulk_2026-05-05,2026-05-05,UPDATE
006WR00000wkDunYAE,Villa Boitano 3,Opportunity,StageName,EMA/Bulk Complete,Marketing/Bulk Complete,stage_rename_emabulk_to_marketingbulk_2026-05-05,2026-05-05,UPDATE
006WR00000wkDuoYAE,Park at Shiloh,Opportunity,StageName,EMA/Bulk In Progress,Marketing/Bulk In Progress,stage_rename_emabulk_to_marketingbulk_2026-05-05,2026-05-05,UPDATE
006WR00000wkDupYAE,8746 Phinney Apt,Opportunity,StageName,EMA/Bulk Complete,Marketing/Bulk Complete,stage_rename_emabulk_to_marketingbulk_2026-05-05,2026-05-05,UPDATE
006WR00000wkDuqYAE,Villages at Sugar Road,Opportunity,StageName,EMA/Bulk In Progress,Marketing/Bulk In Progress,stage_rename_emabulk_to_marketingbulk_2026-05-05,2026-05-05,UPDATE
006WR00000wkDurYAE,The Cliffetta,Opportunity,StageName,EMA/Bulk Complete,Marketing/Bulk Complete,stage_rename_emabulk_to_marketingbulk_2026-05-05,2026-05-05,UPDATE
006WR00000wkDusYAE,Espana,Opportunity,StageName,EMA/Bulk Complete,Marketing/Bulk Complete,stage_rename_emabulk_to_marketingbulk_2026-05-05,2026-05-05,UPDATE
006WR00000wkDutYAE,Windrush Apartments,Opportunity,StageName,EMA/Bulk In Progress,Marketing/Bulk In Progress,stage_rename_emabulk_to_marketingbulk_2026-05-05,2026-05-05,UPDATE
006WR00000wkDuwYAE,Fairways,Opportunity,StageName,EMA/Bulk In Progress,Marketing/Bulk In Progress,stage_rename_emabulk_to_marketingbulk_2026-05-05,2026-05-05,UPDATE
006WR00000wkDuyYAE,Sheppard's Edge,Opportunity,StageName,EMA/Bulk In Progress,Marketing/Bulk In Progress,stage_rename_emabulk_to_marketingbulk_2026-05-05,2026-05-05,UPDATE
006WR00000wkDv0YAE,Boulder Springs Apartments,Opportunity,StageName,EMA/Bulk In Progress,Marketing/Bulk In Progress,stage_rename_emabulk_to_marketingbulk_2026-05-05,2026-05-05,UPDATE
006WR00000wkDv2YAE,St. John's,Opportunity,StageName,EMA/Bulk In Progress,Marketing/Bulk In Progress,stage_rename_emabulk_to_marketingbulk_2026-05-05,2026-05-05,UPDATE
006WR00000wkDv4YAE,615 Manhattan,Opportunity,StageName,EMA/Bulk In Progress,Marketing/Bulk In Progress,stage_rename_emabulk_to_marketingbulk_2026-05-05,2026-05-05,UPDATE
006WR00000wkDv6YAE,Sunset Street,Opportunity,StageName,EMA/Bulk In Progress,Marketing/Bulk In Progress,stage_rename_emabulk_to_marketingbulk_2026-05-05,2026-05-05,UPDATE
006WR00000wkDv8YAE,Pineforest Place,Opportunity,StageName,EMA/Bulk In Progress,Marketing/Bulk In Progress,stage_rename_emabulk_to_marketingbulk_2026-05-05,2026-05-05,UPDATE
006WR00000wkDvAYAU,University Club Apartments (Lubbock),Opportunity,StageName,EMA/Bulk In Progress,Marketing/Bulk In Progress,stage_rename_emabulk_to_marketingbulk_2026-05-05,2026-05-05,UPDATE
006WR00000wkDvCYAU,Chaparral Apts,Opportunity,StageName,EMA/Bulk In Progress,Marketing/Bulk In Progress,stage_rename_emabulk_to_marketingbulk_2026-05-05,2026-05-05,UPDATE
