Id,Name,Agreement_Name__c,field,old_value,new_value
006WR00000wkAC1YAM,Paul Mark Apts,Killeen_MDU_Paul Mark Apts,OwnerId,Tanya Friese,005WR00000Ewjj3YAB
006WR00000wk9T8YAI,Quail Hollow Apts_Morris RE,Killeen_MDU_Quail Hollow Apts,OwnerId,Bill Holick,005WR00000Ewjj3YAB
006WR00000wkA9KYAU,River Oaks Apartments,Killeen_MDU_River Oaks Apartments,OwnerId,Bill Holick,005WR00000Ewjj3YAB
006WR00000wkDM8YAM,Stone Creek Apartments,Killeen_MDU_Sone Creek Apartments,StageName,Prospects,Closed Lost
006WR00000wkDM8YAM,Stone Creek Apartments,Killeen_MDU_Sone Creek Apartments,Loss_Reason__c,,Existing Contract
006WR00000wkDM8YAM,Stone Creek Apartments,Killeen_MDU_Sone Creek Apartments,OwnerId,Bill Holick,005WR00000Ewjj3YAB
006WR00000wkClMYAU,Southcastle Apartments,Killeen_MDU_Southcastle Apts,Loss_Reason__c,Existing Contract,Existing BULK
006WR00000wkClMYAU,Southcastle Apartments,Killeen_MDU_Southcastle Apts,OwnerId,Chuck McNeely,005WR00000Ewjj3YAB
006WR00000wkC80YAE,StoneGate Estates Mobile Home Community,KILLEEN_MDU_Stonegate Estates,OwnerId,Bill Holick,005WR00000Ewjj3YAB
006WR00000xwH4vYAE,Killeen_MDU_Summit Heights Apts,Killeen_MDU_Summit Heights Apts,OwnerId,Tanya Friese,005WR00000Ewjj3YAB
006WR00000xwGvFYAU,Killeen_MDU_Tee Top Apartments,Killeen_MDU_Tee Top Apartments,OwnerId,Tanya Friese,005WR00000Ewjj3YAB
006WR00000wk9T6YAI,Terrace Villa_Morris RE,Killeen_MDU_Terence Villa,OwnerId,Bill Holick,005WR00000Ewjj3YAB
006WR00000wkC7xYAE,Chateau West Apartments,Killeen_MDU_The Chateau West Apartments,OwnerId,Bill Holick,005WR00000Ewjj3YAB
006WR00000wkDMVYA2,The Dorel,Killeen_MDU_The Doral,OwnerId,Bill Holick,005WR00000Ewjj3YAB
006WR00000wkClmYAE,The Grandon,Killeen_MDU_The Grandon,OwnerId,Melissa Baker,005WR00000Ewjj3YAB
006WR00000wkClGYAU,The Grove at Killeen,Killeen_MDU_The Grove,StageName,Prospects,On Hold
006WR00000wkClGYAU,The Grove at Killeen,Killeen_MDU_The Grove,OwnerId,Unassigned MDU,005WR00000Ewjj3YAB
006WR00000wkClHYAU,The Remington,Killeen_MDU_The Remington,Loss_Reason__c,Existing Contract,Existing BULK
006WR00000wkClHYAU,The Remington,Killeen_MDU_The Remington,OwnerId,Chuck McNeely,005WR00000Ewjj3YAB
006WR00000wkA92YAE,The Springs at 1100,Killeen_MDU_The Springs at 1100,OwnerId,Bill Holick,005WR00000Ewjj3YAB
006WR00000wk9S2YAI,The Veranda at Twin Creek Apartments,Killeen_MDU_The Veranda Apartments,OwnerId,Bill Holick,005WR00000Ewjj3YAB
006WR00000wkC81YAE,The Village at Fox Creek,Killeen_MDU_The Village at Fox Creek,OwnerId,Unassigned MDU,005WR00000Ewjj3YAB
006WR00000xvc1mYAA,Killeen_MDU_Townshires Apartments,Killeen_MDU_Townshires Apartments,StageName,Closed Lost,Prospects
006WR00000xvc1mYAA,Killeen_MDU_Townshires Apartments,Killeen_MDU_Townshires Apartments,Loss_Reason__c,Not Interested,
006WR00000xvc1mYAA,Killeen_MDU_Townshires Apartments,Killeen_MDU_Townshires Apartments,OwnerId,Tanya Friese,005WR00000Ewjj3YAB
006WR00000xwDsYYAU,Killeen_MDU_Triple M Rentals,Killeen_MDU_Triple M Rentals,OwnerId,Tanya Friese,005WR00000Ewjj3YAB
006WR00000wkCleYAE,Tucker Apts AKA Brickstone Villas,Killeen_MDU_Tucker Apts,Loss_Reason__c,Existing Contract,Existing BULK
006WR00000wkCleYAE,Tucker Apts AKA Brickstone Villas,Killeen_MDU_Tucker Apts,OwnerId,Chuck McNeely,005WR00000Ewjj3YAB
006WR00000xwFvyYAE,Killeen_MDU_Twin Apartments,Killeen_MDU_Twin Apartments,OwnerId,Tanya Friese,005WR00000Ewjj3YAB
006WR00000wkCltYAE,Twin creek,Killeen_MDU_Twin Creek,Loss_Reason__c,Existing Contract,Existing BULK
006WR00000wkCltYAE,Twin creek,Killeen_MDU_Twin Creek,OwnerId,Chuck McNeely,005WR00000Ewjj3YAB
006WR00000xuU9cYAE,Killeen_MDU_Versailles North,Killeen_MDU_Versailles North,StageName,Closed Lost,Prospects
006WR00000xuU9cYAE,Killeen_MDU_Versailles North,Killeen_MDU_Versailles North,Loss_Reason__c,Not Interested,
006WR00000xuU9cYAE,Killeen_MDU_Versailles North,Killeen_MDU_Versailles North,OwnerId,Tanya Friese,005WR00000Ewjj3YAB
006WR00000wkA90YAE,Villa Del Rey _ FF Freddy,Killeen_MDU_Villa Del Rey Apartments,OwnerId,Bill Holick,005WR00000Ewjj3YAB
006WR00000wk9T7YAI,Village West Apartments_Morris RE,Killeen_MDU_Village West Apartments,OwnerId,Bill Holick,005WR00000Ewjj3YAB
006WR00000wkF0iYAE,Villas at Robinette,Killeen_MDU_Villas at Robinette,OwnerId,Chuck McNeely,005WR00000Ewjj3YAB
006WR00000wjKGNYA2,Western Oaks Apartments,Killeen_MDU_Western Oaks Apartments,OwnerId,Bill Holick,005WR00000Ewjj3YAB
006WR00000wkC7zYAE,Williamsburg Townhomes and Apartments,Killeen_MDU_Williamsburg Townhouses and Apts,OwnerId,Bill Holick,005WR00000Ewjj3YAB
006WR00000xveMwYAI,Mineral Wells_MDU_305-309 NW 4th St Apartments,Mineral Wells_MDU_305-309 NW 4th St Apartments,OwnerId,Justin Barry,005WR000003CD6DYAW
006WR00000xwBIsYAM,Mineral Wells_MDU_707 NW 4TH AVE,Mineral Wells_MDU_707 NW 4TH AVE,StageName,Prospects,Closed Lost
006WR00000xwBIsYAM,Mineral Wells_MDU_707 NW 4TH AVE,Mineral Wells_MDU_707 NW 4TH AVE,Loss_Reason__c,,Other
006WR00000wkABsYAM,Heritage Manor,Mineral Wells_MDU_Heritage Manor,OwnerId,Bill Holick,005WR000003CD6DYAW
006WR00000wkA95YAE,Parkwood Apartments,Mineral Wells_MDU_Parkwood Apartments,OwnerId,Bill Holick,005WR000003CD6DYAW
006WR00000wkDM6YAM,Sandstone Foothills Apartments,Mineral Wells_MDU_Sandstone Foothills Apartments,OwnerId,Bill Holick,005WR000003CD6DYAW
006WR00000wkCjQYAU,Southridge Apartments,Mineral Wells_MDU_Southridge Apartments,OwnerId,Bill Holick,005WR000003CD6DYAW
006WR00000wkABqYAM,The Dalton Apartments,Mineral Wells_MDU_The Dalton Apartments,OwnerId,Bill Holick,005WR000003CD6DYAW
006WR00000wkDMAYA2,The Peaks Townhomes,Mineral Wells_MDU_The Peaks Townhomes,OwnerId,Bill Holick,005WR000003CD6DYAW
006WR00000wkDtRYAU,Mac's Mobile Home Park,NOLANVILLE_MDU_Mac Mobile Home Park,OwnerId,Unassigned MDU,005WR00000Ewjj3YAB
006WR00000wkC70YAE,Mac's Mobile Home Park/ Twin Oaks II,NOLANVILLE_MDU_Twin_Oaks_II_Park,StageName,Prospects,On Hold
006WR00000wkC70YAE,Mac's Mobile Home Park/ Twin Oaks II,NOLANVILLE_MDU_Twin_Oaks_II_Park,OwnerId,Bill Holick,005WR00000Ewjj3YAB
006WR00000wkCliYAE,Watermere at the Preserve,North Richland Hills_MDU_Watermere at the Preserve,Loss_Reason__c,Existing Contract,Existing BULK
006WR00000wkFbyYAE,Beverly Hills Apartments,Omaha_MDU_Beverly Hills Apartments,OwnerId,Jeff Chao,005WR0000030R9lYAE
006WR00000wj8KcYAI,Camelot Village,Omaha_MDU_Camelot Village,OwnerId,Bill Holick,005WR0000030R9lYAE
006WR00000wkDMEYA2,Corby Street Apartments,Omaha_MDU_Corby Street Apartments,OwnerId,Bill Holick,005WR0000030R9lYAE
006WR00000wkAr4YAE,Parkwood Terrace,Omaha_MDU_Parkwood Terrace Apts,StageName,Closed Lost,Prospects
006WR00000wkAr4YAE,Parkwood Terrace,Omaha_MDU_Parkwood Terrace Apts,Loss_Reason__c,Not Interested,
006WR00000wkAr4YAE,Parkwood Terrace,Omaha_MDU_Parkwood Terrace Apts,OwnerId,Bill Holick,005WR0000030R9lYAE
006WR00000wkDtaYAE,Peony Park West Apartments,Omaha_MDU_Peony Park West Apartments,OwnerId,Unassigned MDU,005WR0000030R9lYAE
006WR00000wj8KeYAI,Peony Village,Omaha_MDU_Peony Village Apartments,OwnerId,Bill Holick,005WR0000030R9lYAE
006WR00000wkCkqYAE,Lamplighter Apartments,Omaha_MDU_Lamplighter Apartments,OwnerId,Bill Holick,005WR0000030R9lYAE
006WR00000wkCkrYAE,Town And Country RV Park,OMAHA_MDU_Town And Country RV Park,OwnerId,Bill Holick,005WR0000030R9lYAE
006WR00000wkA8FYAU,Maplewood Court Apartments,Omaha_MDU_Maplewood Court Apartments,OwnerId,Bill Holick,005WR0000030R9lYAE
006WR00000wkA8rYAE,Laurel Hill Apartments,Omaha_MDU_Laurel Hill Apartments,OwnerId,Bill Holick,005WR0000030R9lYAE
006WR00000wj8KHYAY,Kings Gate Senior Apartments,Omaha_MDU_Kings Gate Apartments,StageName,Prospects,Closed Lost
006WR00000wj8KHYAY,Kings Gate Senior Apartments,Omaha_MDU_Kings Gate Apartments,Loss_Reason__c,,Not Interested
006WR00000wj8KHYAY,Kings Gate Senior Apartments,Omaha_MDU_Kings Gate Apartments,OwnerId,Bill Holick,005WR0000030R9lYAE
006WR00000wkFc3YAE,Maple Crest Condominiums,OMAHA_MDU_MAPLE CREST CONDOMINIUMS,OwnerId,Jeff Chao,005WR0000030R9lYAE
006WR00000wj8KQYAY,Arboretum Village,Omaha_MDU_Arboretum Village,OwnerId,Bill Holick,005WR0000030R9lYAE
006WR00000wkArrYAE,Astoria Senior Living,Omaha_MDU_Astoria Senior Living,OwnerId,Bill Holick,005WR0000030R9lYAE
006WR00000wkA8VYAU,Copperstone Apartments,Omaha_MDU_Copperstone Apartments,OwnerId,Bill Holick,005WR0000030R9lYAE
006WR00000wkFbuYAE,Keystone Ridge,Omaha_MDU_Keystone Ridge Apts,OwnerId,Chuck McNeely,005WR0000030R9lYAE
006WR00000wjnlaYAA,The Colonial Apartments Broadmoor,Omaha_MDU_The Colonial,OwnerId,Bill Holick,005WR0000030R9lYAE
006WR00000wkDMYYA2,ZAG Apartments,OMAHA_MDU_5110 Mayberry St - ZAG Apartments,OwnerId,Unassigned MDU,005WR0000030R9lYAE
006WR00000wkC73YAE,Loveland by Broadmoor,Omaha_MDU_Loveland by Broadmoor,OwnerId,Bill Holick,005WR0000030R9lYAE
