SF_Id,Name,Field,Before,After,Source,Timestamp,Action,Provenance
006WR00000wk1EYYAY,Cielo Apartments,Property_Category__c,Cat 2,Cat 1,fix/2026-05-13-cat1-corrections-missed-from-morning-push.py,2026-05-13T11:24:35,updated,dist=196.4ft nearest=8525 TOBIAS AVE UNIT 102 PANORAMA CITY CA 91402
006WR00000wk1EeYAI,The Sterling Apartments,Property_Category__c,Cat 2,Cat 1,fix/2026-05-13-cat1-corrections-missed-from-morning-push.py,2026-05-13T11:24:35,updated,dist=126.7ft nearest=1333 W GUADALUPE RD UNIT 1511 GILBERT AZ 85233
006WR00000wk1EfYAI,Navajo Hills,Property_Category__c,Cat 3,Cat 1,fix/2026-05-13-cat1-corrections-missed-from-morning-push.py,2026-05-13T11:24:35,updated,dist=200.2ft nearest=300 E NAVAJO RD UNIT 1302 TUCSON AZ 85705
006WR00000wk1EgYAI,Sun Valley Ranch Apartments,Property_Category__c,Cat 2,Cat 1,fix/2026-05-13-cat1-corrections-missed-from-morning-push.py,2026-05-13T11:24:35,updated,dist=112.1ft nearest=7353 E UNIVERSITY DR UNIT 2002 MESA AZ 85207
006WR00000wk1EhYAI,Tallgrass Village,Property_Category__c,Cat 2,Cat 1,fix/2026-05-13-cat1-corrections-missed-from-morning-push.py,2026-05-13T11:24:35,updated,dist=75.9ft nearest=3325 CALERA TRL UNIT 4311 FORT WORTH TX 76177
006WR00000wk1EiYAI,Yavapai Hills Apartments,Property_Category__c,Cat 3,Cat 1,fix/2026-05-13-cat1-corrections-missed-from-morning-push.py,2026-05-13T11:24:35,updated,dist=202.8ft nearest=320 E YAVAPAI RD UNIT 1110 TUCSON AZ 85705
006WR00000wk1EjYAI,The Renaissance at Stoney Creek,Property_Category__c,Cat 2,Cat 1,fix/2026-05-13-cat1-corrections-missed-from-morning-push.py,2026-05-13T11:24:35,updated,dist=77.4ft nearest=111 S 28TH ST UNIT 103 KILLEEN TX 76541
006WR00000wk1EkYAI,Cielo on 5th (f/k/a Equinox on 5th),Property_Category__c,Cat 2,Cat 1,fix/2026-05-13-cat1-corrections-missed-from-morning-push.py,2026-05-13T11:24:35,updated,dist=102.0ft nearest=3701 E 5th St UNIT 3703 TUCSON AZ 85716
006WR00000wk1ElYAI,The Bluffs of Brookside,Property_Category__c,Cat 2,Cat 1,fix/2026-05-13-cat1-corrections-missed-from-morning-push.py,2026-05-13T11:24:35,updated,dist=97.3ft nearest=1300 OPAL RD UNIT A KILLEEN TX 76543
006WR00000wk1EmYAI,Bay Colony Apartments,Property_Category__c,Cat 2,Cat 1,fix/2026-05-13-cat1-corrections-missed-from-morning-push.py,2026-05-13T11:24:35,updated,dist=117.9ft nearest=4301 E RANCIER AVE UNIT 103 KILLEEN TX 76543
006WR00000wk1EnYAI,Hallcraft Villas Mesa 1,Property_Category__c,Cat 2,Cat 1,fix/2026-05-13-cat1-corrections-missed-from-morning-push.py,2026-05-13T11:24:35,updated,dist=90.9ft nearest=600 S DOBSON RD UNIT 3 MESA AZ 85202
006WR00000wk1EoYAI,Villa Pacifica Apartments - Tucson,Property_Category__c,Cat 2,Cat 1,fix/2026-05-13-cat1-corrections-missed-from-morning-push.py,2026-05-13T11:24:35,updated,dist=137.7ft nearest=4650 E 29TH ST UNIT 107 TUCSON AZ 85711
006WR00000wk3OBYAY,Village Park Apartments,Property_Category__c,Cat 2,Cat 1,fix/2026-05-13-cat1-corrections-missed-from-morning-push.py,2026-05-13T11:24:35,updated,dist=176.7ft nearest=1893 FORESTDALE DR ENCINITAS CA 92024
006WR00000wk3OnYAI,Indigo Lofts,Property_Category__c,Cat 2,Cat 1,fix/2026-05-13-cat1-corrections-missed-from-morning-push.py,2026-05-13T11:24:35,updated,dist=239.6ft nearest=1050 N HORNE UNIT 7 MESA AZ 85203
006WR00000wk3PCYAY,Silverway Apartments,Property_Category__c,Cat 3,Cat 1,fix/2026-05-13-cat1-corrections-missed-from-morning-push.py,2026-05-13T11:24:35,updated,dist=433.5ft nearest=1202 WILLOW SPRINGS RD UNIT A KILLEEN TX 76549
006WR00000wk3PDYAY,The Arbors of Taylor,Property_Category__c,Cat 2,Cat 1,fix/2026-05-13-cat1-corrections-missed-from-morning-push.py,2026-05-13T11:24:35,updated,dist=240.2ft nearest=2900 N MAIN ST TAYLOR TX 76574
006WR00000wk3PEYAY,El Dorado Apartments,Property_Category__c,Cat 3,Cat 1,fix/2026-05-13-cat1-corrections-missed-from-morning-push.py,2026-05-13T11:24:35,updated,dist=368.1ft nearest=1202 WILLOW SPRINGS RD UNIT A KILLEEN TX 76549
006WR00000wk9SDYAY,Meadow Glen Mobile Home Park,Property_Category__c,Cat 2,Cat 1,fix/2026-05-13-cat1-corrections-missed-from-morning-push.py,2026-05-13T11:24:35,updated,dist=181.4ft nearest=11650 OLD DENTON RD FORT WORTH TX 76244
006WR00000wk9SqYAI,Hunter's Glen Apartments,Property_Category__c,Cat 2,Cat 1,fix/2026-05-13-cat1-corrections-missed-from-morning-push.py,2026-05-13T11:24:35,updated,dist=220.3ft nearest=1201 BACON RANCH RD UNIT 023 KILLEEN TX 76542
006WR00000wk9TJYAY,Carlsbad View Apartments,Property_Category__c,Cat 2,Cat 1,fix/2026-05-13-cat1-corrections-missed-from-morning-push.py,2026-05-13T11:24:35,updated,dist=150.2ft nearest=3993 BROWN ST OCEANSIDE CA 92056
006WR00000wk9UPYAY,Marabrisa Condominiums,Property_Category__c,Cat 2,Cat 1,fix/2026-05-13-cat1-corrections-missed-from-morning-push.py,2026-05-13T11:24:35,updated,dist=190.5ft nearest=7353 E UNIVERSITY DR UNIT 1153 MESA AZ 85207
006WR00000wk9Z4YAI,Taylor Square Apartments,Property_Category__c,Cat 2,Cat 1,fix/2026-05-13-cat1-corrections-missed-from-morning-push.py,2026-05-13T11:24:35,updated,dist=110.1ft nearest=1002 COTTONBOWL DR TAYLOR TX 76574
006WR00000wk9Z6YAI,Stillhouse Flats,Property_Category__c,Cat 2,Cat 1,fix/2026-05-13-cat1-corrections-missed-from-morning-push.py,2026-05-13T11:24:35,updated,dist=83.6ft nearest=2926 CEDAR KNOB RD UNIT 1 HARKER HEIGHTS TX 76548
006WR00000wk9ZRYAY,Bluffs at Cherry Hills,Property_Category__c,Cat 2,Cat 1,fix/2026-05-13-cat1-corrections-missed-from-morning-push.py,2026-05-13T11:24:35,updated,dist=79.4ft nearest=6510 N 107TH PLZ OMAHA NE 68122
006WR00000wk9ZWYAY,Park on Center,Property_Category__c,Cat 2,Cat 1,fix/2026-05-13-cat1-corrections-missed-from-morning-push.py,2026-05-13T11:24:35,updated,dist=63.6ft nearest=2812 S 93RD PLZ OMAHA NE 68124
006WR00000wk9ZdYAI,Westbrook Gardens Apartments,Property_Category__c,Cat 2,Cat 1,fix/2026-05-13-cat1-corrections-missed-from-morning-push.py,2026-05-13T11:24:35,updated,dist=81.5ft nearest=8204 PARKER ST OMAHA NE 68114
006WR00000wk9ZjYAI,Highpoint,Property_Category__c,Cat 2,Cat 1,fix/2026-05-13-cat1-corrections-missed-from-morning-push.py,2026-05-13T11:24:35,updated,dist=448.8ft nearest=10360 ELLISON CIR OMAHA NE 68134
006WR00000wk9ZqYAI,The Slate,Property_Category__c,Cat 2,Cat 1,fix/2026-05-13-cat1-corrections-missed-from-morning-push.py,2026-05-13T11:24:35,updated,dist=34.7ft nearest=109 S 19TH ST OMAHA NE 68102
006WR00000wk9ZrYAI,Pacific Gardens Apartments,Property_Category__c,Cat 2,Cat 1,fix/2026-05-13-cat1-corrections-missed-from-morning-push.py,2026-05-13T11:24:35,updated,dist=474.4ft nearest=7602 PACIFIC ST UNIT 12 OMAHA NE 68114
006WR00000wk9ZyYAI,Camelot VI,Property_Category__c,Cat 2,Cat 1,fix/2026-05-13-cat1-corrections-missed-from-morning-push.py,2026-05-13T11:24:35,updated,dist=168.9ft nearest=2425 N 94TH PLZ UNIT 12 OMAHA NE 68134
006WR00000wk9ZzYAI,4651 Dodge St,Property_Category__c,Cat 2,Cat 1,fix/2026-05-13-cat1-corrections-missed-from-morning-push.py,2026-05-13T11:24:35,updated,dist=153.4ft nearest=4608 DODGE ST OMAHA NE 68132
006WR00000wkA6DYAU,46 Dodge Apartments,Property_Category__c,Cat 2,Cat 1,fix/2026-05-13-cat1-corrections-missed-from-morning-push.py,2026-05-13T11:24:35,updated,dist=105.7ft nearest=4604 DODGE ST OMAHA NE 68132
006WR00000wkA6IYAU,Piraeus Point,Property_Category__c,Cat 2,Cat 1,fix/2026-05-13-cat1-corrections-missed-from-morning-push.py,2026-05-13T11:24:35,updated,dist=496.3ft nearest=1530 ORPHEUS AVE ENCINITAS CA 92024
006WR00000wkA6TYAU,Mission View Manor,Property_Category__c,Cat 2,Cat 1,fix/2026-05-13-cat1-corrections-missed-from-morning-push.py,2026-05-13T11:24:35,updated,dist=420.6ft nearest=276 N EL CAMINO REAL UNIT 16 OCEANSIDE CA 92058
006WR00000wkA6WYAU,Dundee Flats,Property_Category__c,Cat 2,Cat 1,fix/2026-05-13-cat1-corrections-missed-from-morning-push.py,2026-05-13T11:24:35,updated,dist=148.2ft nearest=4806 DODGE ST UNIT 12 OMAHA NE 68132
006WR00000wkA6fYAE,Bedford Square [fmr Maplewood Court],Property_Category__c,Cat 2,Cat 1,fix/2026-05-13-cat1-corrections-missed-from-morning-push.py,2026-05-13T11:24:35,updated,dist=29.4ft nearest=4504 BEDFORD AVE OMAHA NE 68104
006WR00000wkA89YAE,Club 715,Property_Category__c,Cat 2,Cat 1,fix/2026-05-13-cat1-corrections-missed-from-morning-push.py,2026-05-13T11:24:35,updated,dist=192.7ft nearest=645 N COUNTRY CLUB DR UNIT 215 MESA AZ 85201 
006WR00000wkA8BYAU,Pennytree Apartments,Property_Category__c,Cat 2,Cat 1,fix/2026-05-13-cat1-corrections-missed-from-morning-push.py,2026-05-13T11:24:35,updated,dist=197.4ft nearest=200 S MACDONALD MESA AZ 85210
006WR00000wkA8ZYAU,Del Mar Downs Condos,Property_Category__c,Cat 2,Cat 1,fix/2026-05-13-cat1-corrections-missed-from-morning-push.py,2026-05-13T11:24:35,updated,dist=63.8ft nearest=168 DEL MAR SHORES TER SOLANA BEACH CA 92075
006WR00000wkA93YAE,Woodstone Townhomes,Property_Category__c,Cat 2,Cat 1,fix/2026-05-13-cat1-corrections-missed-from-morning-push.py,2026-05-13T11:24:35,updated,dist=130.0ft nearest=7908 W DODGE RD OMAHA NE 68114
006WR00000wkA9CYAU,Brookside,Property_Category__c,Cat 3,Cat 1,fix/2026-05-13-cat1-corrections-missed-from-morning-push.py,2026-05-13T11:24:35,updated,dist=300.4ft nearest=3514 S WS YOUNG DR KILLEEN TX 76542
006WR00000wkA9EYAU,Allora Georgetown,Property_Category__c,Cat 2,Cat 1,fix/2026-05-13-cat1-corrections-missed-from-morning-push.py,2026-05-13T11:24:35,updated,dist=424.9ft nearest=2900 NE INNER LOOP UNIT 60 GEORGETOWN TX 78626
006WR00000wkA9LYAU,Stepping Stone Apartments,Property_Category__c,Cat 2,Cat 1,fix/2026-05-13-cat1-corrections-missed-from-morning-push.py,2026-05-13T11:24:35,updated,dist=110.5ft nearest=2602 DAVIS ST UNIT A TAYLOR TX 76574
006WR00000wkAjeYAE,Shadow Ridge Apartments,Property_Category__c,Cat 2,Cat 1,fix/2026-05-13-cat1-corrections-missed-from-morning-push.py,2026-05-13T11:24:35,updated,dist=259.7ft nearest=3997 BROWN ST OCEANSIDE CA 92056
006WR00000wkAkRYAU,2 Vista Vallley Apartments/LONGMORE ESTATES CONDOS NORTH & SOUTH,Property_Category__c,Cat 2,Cat 1,fix/2026-05-13-cat1-corrections-missed-from-morning-push.py,2026-05-13T11:24:35,updated,dist=61.6ft nearest=850 S LONGMORE UNIT 297 MESA AZ 85202
006WR00000wkBpWYAU,Station 42,Property_Category__c,Cat 2,Cat 1,fix/2026-05-13-cat1-corrections-missed-from-morning-push.py,2026-05-13T11:24:35,updated,dist=201.6ft nearest=2102 E VETERANS MEMORIAL BLVD KILLEEN TX 76541
006WR00000wkC6kYAE,Somerset Court,Property_Category__c,Cat 2,Cat 1,fix/2026-05-13-cat1-corrections-missed-from-morning-push.py,2026-05-13T11:24:35,updated,dist=134.9ft nearest=2625 N 73RD ST OMAHA NE 68134
006WR00000wkClPYAU,Crestwood Apartment Homes,Property_Category__c,Cat 2,Cat 1,fix/2026-05-13-cat1-corrections-missed-from-morning-push.py,2026-05-13T11:24:35,updated,dist=434.6ft nearest=612 PROFIT ST AZLE TX 76020
006WR00000wkClkYAE,Las Brisas,Property_Category__c,Cat 2,Cat 1,fix/2026-05-13-cat1-corrections-missed-from-morning-push.py,2026-05-13T11:24:35,updated,dist=92.0ft nearest=135 S SIERRA AVE UNIT 3 SOLANA BEACH CA 92075
006WR00000wkCllYAE,Del Mar Shores Terrace,Property_Category__c,Cat 2,Cat 1,fix/2026-05-13-cat1-corrections-missed-from-morning-push.py,2026-05-13T11:24:35,updated,dist=63.8ft nearest=168 DEL MAR SHORES TER SOLANA BEACH CA 92075
