Id,Name,StageName,Owner,Property_Address,Property_City,Property_State,Property_Zip,current_category,franchise_type,suggested_category,distance_ft,nearest_fiber_addr,nearest_fdh,via_optk,change_type,geocode_note
006WR00000wkDtUYAU,Mobile Manor Estates,Prospects,Chuck McNeely,307 INDIAN OAKS DR HARKER HEIGHTS TX 76548,Harker Heights,TX,76548,Cat 1,In-Franchise,Cat 1,145.4,305 INDIAN OAKS DR HARKER HEIGHTS TX 76548,FDH02,,no_change,"307 INDIAN OAKS DR, HARKER HEIGHTS, TX, 76548"
006WR00000wkDtVYAU,1301-1315 Quail_CIR_Apts,Prospects,Chuck McNeely,1301 QUAIL CIR UNIT A KILLEEN TX 76549,Killeen,TX,76549,Cat 1,In-Franchise,Cat 1,422.2,2113 NEWTON DR KILLEEN TX 76549,FDH05,,no_change,"1301 QUAIL CIR, KILLEEN, TX, 76549"
006WR00000wkDtWYAU,GEORGETOWN_MDU_101_FM971 AKA Vered at San Gabriel,Prospects,Chuck McNeely,101 FM 971 GEORGETOWN TX 78626,Georgetown,TX,78626,Cat 1,In-Franchise,Cat 1,323.7,202 ROYAL DR GEORGETOWN TX 78626,FB17,,no_change,"101 FM 971, GEORGETOWN, TX, 78626"
006WR00000wkDtXYAU,Pelican Cove HOA,Prospects,Bill Holick,"275 Reef Point Way, Oceanside, CA 92058",Oceanside,CA,92058,Cat 1,In-Franchise,Cat 1,358.2,276 N EL CAMINO REAL UNIT 23 OCEANSIDE CA 92058,FDH05,,no_change,"275 REEF POINT WAY, OCEANSIDE, CA, 92058"
006WR00000wkDtYYAU,ENCINITAS_MDU_Quail_Gardens,Prospects,Chuck McNeely,155 QUAIL GARDENS DR UNIT 1 ENCINITAS CA 92024,Encinitas,CA,92024,Cat 1,In-Franchise,Cat 1,326.5,662 ENCINITAS BLVD UNIT 220 ENCINITAS CA 92024,FDH37,,no_change,"155 QUAIL GARDENS DR, ENCINITAS, CA, 92024"
006WR00000wkDtZYAU,OMAHA_MDU_Ogden Plaza,Prospects,Chuck McNeely,4304 OGDEN ST OMAHA NE 68111,Omaha,NE,68111,Cat 1,In-Franchise,,,,,,geocode_failed,No_Match
006WR00000wkDtaYAE,Peony Park West Apartments,Prospects,Chuck McNeely,"Cass StOmaha, NE 68114",Omaha,NE,68114,Cat 1,In-Franchise,,,,,,geocode_failed,No_Match
006WR00000wkDtbYAE,Spindrift Apartments,Prospects,Chuck McNeely,1125 N VULCAN AVE UNIT 1 ENCINITAS CA 92024,Encinitas,CA,92024,Cat 1,In-Franchise,Cat 1,65.1,1125 N VULCAN AVE UNIT 21 ENCINITAS CA 92024,FDH41,,no_change,"1125 N VULCAN AVE, ENCINITAS, CA, 92024"
006WR00000wkDtcYAE,OMAHA_MDU_3331-3337 Meredith AVE APTS,Prospects,Chuck McNeely,3331 MEREDITH AVE  OMAHA NE 68111,Omaha,NE,68111,Cat 1,In-Franchise,Cat 1,86.3,3316 MEREDITH AVE OMAHA NE 68111,FDH11,,no_change,"3331 MEREDITH AVE, OMAHA, NE, 68111"
006WR00000wkDtdYAE,Highland Park Manor (HOA),Prospects,Chuck McNeely,525 N VAL VISTA DR MESA AZ 85205,Mesa,AZ,85213,Cat 1,In-Franchise,Cat 1,98.4,525 N VAL VISTA DR UNIT 3 MESA AZ 85205,FB11,,no_change,"525 N VAL VISTA DR, MESA, AZ, 85213"
