Id,Name,Circuit_ID__c,Unit__c,Activated__c,Address_Activation_Date__c,Address_Deactivated__c,Import_DateTime__c,Parent_Business_Base_Address
a02WR00000FcN9VYAV,1304 GLENWOOD DR AZLE TX 76020,TX0601-012000004A,,No,,No,2025-10-06T18:04:52.000+0000,1304 GLENWOOD DR AZLE TX
a02WR00000FcN9xYAF,1308 GLENWOOD DR AZLE TX 76020,TX0601-012000005A,,No,,No,2025-10-06T18:04:52.000+0000,1308 GLENWOOD DR AZLE TX
a02WR00000FcNAHYA3,1312 GLENWOOD DR AZLE TX 76020,TX0601-012000006A,,No,,No,2025-10-06T18:04:52.000+0000,1312 GLENWOOD DR AZLE TX
a02WR00000FcNAOYA3,1314 ROANOKE RD KELLER TX 76248,TX0603-002000145A,,No,,No,2025-10-06T18:04:52.000+0000,1314 ROANOKE RD KELLER TX
a02WR00000FcNAZYA3,1316 GLENWOOD DR AZLE TX 76020,TX0601-012000018A,,No,,No,2025-10-06T18:04:52.000+0000,1316 GLENWOOD DR AZLE TX
a02WR00000FcNAmYAN,132 MOUNT GILEAD RD KELLER TX 76248,TX0603-001000028A,,No,,No,2025-10-06T18:04:52.000+0000,132 MOUNT GILEAD RD KELLER TX
a02WR00000FcNAsYAN,1320 GLENWOOD DR AZLE TX 76020,TX0601-012000017A,,No,,No,2025-10-06T18:04:52.000+0000,1320 GLENWOOD DR AZLE TX
a02WR00000FcNB4YAN,1325 MELODY LN KELLER TX 76262,TX0603-002000133A,,No,,No,2025-10-06T18:04:52.000+0000,1325 MELODY LN KELLER TX
a02WR00000FcNBLYA3,13300 WILLOW SPRINGS RD HASLET TX 76052,TX0602-030000289A,,No,,No,2025-10-06T18:04:52.000+0000,13300 WILLOW SPRINGS RD HASLET TX
a02WR00000FcNBSYA3,13340 WILLOW SPRINGS RD HASLET TX 76052,TX0602-026000012A,,No,,No,2025-10-06T18:04:52.000+0000,13340 WILLOW SPRINGS RD HASLET TX
a02WR00000FcNBUYA3,1335 MELODY LN KELLER TX 76262,TX0603-002000164A,,No,,No,2025-10-06T18:04:52.000+0000,1335 MELODY LN KELLER TX
a02WR00000FcNBWYA3,1336 ROANOKE RD KELLER TX 76248,TX0603-002000111A,,No,,No,2025-10-06T18:04:52.000+0000,1336 ROANOKE RD KELLER TX
a02WR00000FcNBeYAN,13390 WILLOW SPRINGS RD HASLET TX 76052,TX0602-026000018A,,No,,No,2025-10-06T18:04:52.000+0000,13390 WILLOW SPRINGS RD HASLET TX
a02WR00000FcNBmYAN,13400 HASLET CT HASLET TX 76052,TX0602-022000081A,,No,,No,2025-10-06T18:04:52.000+0000,13400 HASLET CT HASLET TX
a02WR00000FcNBoYAN,13400 WILLOW SPRINGS RD HASLET TX 76052,TX0602-026000021A,,No,,No,2025-10-06T18:04:52.000+0000,13400 WILLOW SPRINGS RD HASLET TX
a02WR00000FcNBqYAN,13404 HASLET CT HASLET TX 76052,TX0602-022000056A,,No,,No,2025-10-06T18:04:52.000+0000,13404 HASLET CT HASLET TX
a02WR00000FcNBrYAN,13405 HASLET CT HASLET TX 76052,TX0602-022000072A,,No,,No,2025-10-06T18:04:52.000+0000,13405 HASLET CT HASLET TX
a02WR00000FcNBsYAN,13408 HASLET CT HASLET TX 76052,TX0602-022000047A,,No,,No,2025-10-06T18:04:52.000+0000,13408 HASLET CT HASLET TX
